"epoch","seg-unet-biomed-1024 - _step","seg-unet-biomed-1024 - _step__MIN","seg-unet-biomed-1024 - _step__MAX","seg-unet-biomed-1024 - Segmentation metrics.Dice","seg-unet-biomed-1024 - Segmentation metrics.Dice__MIN","seg-unet-biomed-1024 - Segmentation metrics.Dice__MAX","seg-unet-biomed-2048 - _step","seg-unet-biomed-2048 - _step__MIN","seg-unet-biomed-2048 - _step__MAX","seg-unet-biomed-2048 - Segmentation metrics.Dice","seg-unet-biomed-2048 - Segmentation metrics.Dice__MIN","seg-unet-biomed-2048 - Segmentation metrics.Dice__MAX"
"0","12.5","8","17","6.986994750129982e-12","6.986994316449113e-12","6.986995183810851e-12","5","3","7","0.0018177912594311864","4.755145496110336e-12","0.0036355825141072273"
"1","30.5","26","35","6.986994750129982e-12","6.986994316449113e-12","6.986995183810851e-12","13","11","15","0.00364489434286952","0.002429850399494171","0.004859938286244869"
"2","48.5","44","53","0.0017335105256653521","6.986994316449113e-12","0.00346702104434371","21","19","23","0.00002364302736168611","0.000009510250492894556","0.00003777580423047766"
"3","71","62","80","0.37849096208810806","0.11126687377691269","0.6106988787651062","29","27","31","4.755145496110336e-12","4.755145496110336e-12","4.755145496110336e-12"
"4","93.5","89","98","0.6856476962566376","0.6803359985351562","0.6909593939781189","37","35","39","4.755145496110336e-12","4.755145496110336e-12","4.755145496110336e-12"
"5","111.5","107","116","0.6612622439861298","0.6531108617782593","0.6694136261940002","45","43","47","4.755145496110336e-12","4.755145496110336e-12","4.755145496110336e-12"
"6","129.5","125","134","0.5964107513427734","0.5867537260055542","0.6060677766799927","53","51","55","4.755124245747755e-12","4.755113837406899e-12","4.755134654088611e-12"
"7","152","143","161","0.6665960748990377","0.6441134810447693","0.6808465719223022","61","59","63","0.0000024436302411643546","4.755102561704305e-12","0.0000048872557272261474"
"8","174.5","170","179","0.6929930448532104","0.6903663873672485","0.6956197023391724","69","67","71","0.000019152049617332523","0.0000048872557272261474","0.0000334168435074389"
"9","192.5","188","197","0.6987354159355164","0.6930621862411499","0.7044086456298828","77","75","79","0.014538472692947835","0.0018480628496035933","0.027228882536292076"
"10","210.5","206","215","0.7140043377876282","0.7100381851196289","0.7179704904556274","85","83","87","0.14212781935930252","0.09181009232997894","0.1924455463886261"
"11","233","224","242","0.7207399408022562","0.7161875367164612","0.7232034206390381","93","91","95","0.38380852341651917","0.31458723545074463","0.4530298113822937"
"12","255.5","251","260","0.7283145785331726","0.7237488627433777","0.7328802943229675","101","99","103","0.6054285168647766","0.5741000771522522","0.636756956577301"
"13","273.5","269","278","0.7295091152191162","0.7278386950492859","0.7311795353889465","109","107","111","0.6927370727062225","0.6768271327018738","0.7086470127105713"
"14","291.5","287","296","0.7307996451854706","0.7307084202766418","0.7308908700942993","117","115","119","0.7392431497573853","0.7351372241973877","0.7433490753173828"
"15","314","305","323","0.7323804100354513","0.7306827306747437","0.733475387096405","125","123","127","0.7555964589118958","0.7530733346939087","0.7581195831298828"
"16","336.5","332","341","0.7356982529163361","0.7346652746200562","0.736731231212616","133","131","135","0.7675436437129974","0.7656564116477966","0.7694308757781982"
"17","354.5","350","359","0.7369687259197235","0.7361944913864136","0.7377429604530334","141","139","143","0.7783544063568115","0.7760765552520752","0.7806322574615479"
"18","372.5","368","377","0.735996425151825","0.7340485453605652","0.7379443049430847","149","147","151","0.7692406177520752","0.7670203447341919","0.7714608907699585"
"19","395","386","404","0.7358400424321493","0.7326623201370239","0.7389994859695435","157","155","159","0.765591025352478","0.7641874551773071","0.7669945955276489"
"20","417.5","413","422","0.7311033010482788","0.7305833101272583","0.7316232919692993","165","163","167","0.7584227025508881","0.7579662203788757","0.7588791847229004"
"21","435.5","431","440","0.7339774072170258","0.7316426038742065","0.736312210559845","173","171","175","0.7567178010940552","0.7554253339767456","0.7580102682113647"
"22","453.5","449","458","0.7228132486343384","0.7216359376907349","0.7239905595779419","181","179","183","0.7533362507820129","0.7531948089599609","0.7534776926040649"
"23","476","467","485","0.7154423594474792","0.7089044451713562","0.7211962342262268","189","187","191","0.7419008910655975","0.7394331097602844","0.7443686723709106"
"24","498.5","494","503","0.7192391753196716","0.7174398303031921","0.7210385203361511","197","195","199","0.7305576801300049","0.728043794631958","0.7330715656280518"
"25","516.5","512","521","0.7122794389724731","0.7083712816238403","0.716187596321106","205","203","207","0.7397281229496002","0.7393946647644043","0.7400615811347961"
"26","534.5","530","539","0.6997734606266022","0.6934366226196289","0.7061102986335754","213","211","215","0.7519562542438507","0.7508983016014099","0.7530142068862915"
"27","557","548","566","0.7078185677528381","0.7042081356048584","0.7137333154678345","221","219","223","0.7623741030693054","0.7602914571762085","0.7644567489624023"
"28","579.5","575","584","0.7029991745948792","0.6986097097396851","0.7073886394500732","229","227","231","0.7686413526535034","0.7676283121109009","0.769654393196106"
"29","597.5","593","602","0.7064329981803894","0.7050760388374329","0.707789957523346","237","235","239","0.7728427648544312","0.7661572694778442","0.7795282602310181"
"30","615.5","611","620","0.7090462446212769","0.7072515487670898","0.7108409404754639","245","243","247","0.7859461903572083","0.7859178781509399","0.7859745025634766"
"31","638","629","647","0.7198237379391988","0.7178958058357239","0.723541796207428","253","251","255","0.7830313444137573","0.7795230150222778","0.7865396738052368"
"32","660.5","656","665","0.7209568023681641","0.7206465005874634","0.7212671041488647","261","259","263","0.7881212830543518","0.7852948904037476","0.790947675704956"
"33","678.5","674","683","0.7118510007858276","0.7073849439620972","0.7163170576095581","269","267","271","0.7944542765617371","0.7884547710418701","0.800453782081604"
"34","696.5","692","701","0.7157001495361328","0.7100086212158203","0.7213916778564453","277","275","279","0.7965538799762726","0.7911094427108765","0.8019983172416687"
"35","719","710","728","0.7224621375401815","0.7196672558784485","0.7278255820274353","285","283","287","0.7916123270988464","0.7910561561584473","0.7921684980392456"
"36","741.5","737","746","0.7282236516475677","0.7254171967506409","0.7310301065444946","293","291","295","0.7950412929058075","0.7907988429069519","0.7992837429046631"
"37","759.5","755","764","0.7370253205299377","0.7352069616317749","0.7388436794281006","301","299","303","0.7922549545764923","0.7906684875488281","0.7938414216041565"
"38","777.5","773","782","0.7361796498298645","0.7347824573516846","0.7375768423080444","309","307","311","0.7897204160690308","0.78812575340271","0.7913150787353516"
"39","800","791","809","0.7405242125193278","0.7389006614685059","0.7432874441146851","317","315","319","0.790910929441452","0.7852925658226013","0.7965292930603027"
