"epoch","unet-biomed-2048 - _step","unet-biomed-2048 - _step__MIN","unet-biomed-2048 - _step__MAX","unet-biomed-2048 - Segmentation metrics.Weighted Dice","unet-biomed-2048 - Segmentation metrics.Weighted Dice__MIN","unet-biomed-2048 - Segmentation metrics.Weighted Dice__MAX","unet-biomed-1024 - _step","unet-biomed-1024 - _step__MIN","unet-biomed-1024 - _step__MAX","unet-biomed-1024 - Segmentation metrics.Weighted Dice","unet-biomed-1024 - Segmentation metrics.Weighted Dice__MIN","unet-biomed-1024 - Segmentation metrics.Weighted Dice__MAX","unet-biomed-512 - _step","unet-biomed-512 - _step__MIN","unet-biomed-512 - _step__MAX","unet-biomed-512 - Segmentation metrics.Weighted Dice","unet-biomed-512 - Segmentation metrics.Weighted Dice__MIN","unet-biomed-512 - Segmentation metrics.Weighted Dice__MAX","unet-biomed-384 - _step","unet-biomed-384 - _step__MIN","unet-biomed-384 - _step__MAX","unet-biomed-384 - Segmentation metrics.Weighted Dice","unet-biomed-384 - Segmentation metrics.Weighted Dice__MIN","unet-biomed-384 - Segmentation metrics.Weighted Dice__MAX","unet-biomed-256 - _step","unet-biomed-256 - _step__MIN","unet-biomed-256 - _step__MAX","unet-biomed-256 - Segmentation metrics.Weighted Dice","unet-biomed-256 - Segmentation metrics.Weighted Dice__MIN","unet-biomed-256 - Segmentation metrics.Weighted Dice__MAX","unet-biomed-192 - _step","unet-biomed-192 - _step__MIN","unet-biomed-192 - _step__MAX","unet-biomed-192 - Segmentation metrics.Weighted Dice","unet-biomed-192 - Segmentation metrics.Weighted Dice__MIN","unet-biomed-192 - Segmentation metrics.Weighted Dice__MAX","unet-biomed-128 - _step","unet-biomed-128 - _step__MIN","unet-biomed-128 - _step__MAX","unet-biomed-128 - Segmentation metrics.Weighted Dice","unet-biomed-128 - Segmentation metrics.Weighted Dice__MIN","unet-biomed-128 - Segmentation metrics.Weighted Dice__MAX"
"0","35","23","47","0.25","0.25","0.25","114.5","76","153","0.18618275225162506","0.12816616892814636","0.24419933557510376","1119.5","746","1493","0.28318028151988983","0.23722288012504578","0.3291376829147339","1077.5","718","1437","0.3994615823030472","0.33688345551490784","0.4620397090911865","1271","847","1695","0.27727285772562027","0.1901559680700302","0.3643897473812103","974","649","1299","0.24973047524690628","0.1446010023355484","0.35485994815826416","1299.5","866","1733","0.1139676421880722","0.06072621047496796","0.16720907390117645"
"1","83","71","95","0.13062229193747044","0.011244583874940872","0.25","268.5","230","307","0.2947387397289276","0.28646284341812134","0.3030146360397339","2613.5","2240","2987","0.46236981451511383","0.4281274080276489","0.49661222100257874","2515.5","2156","2875","0.40712103247642517","0.3340405225753784","0.4802015423774719","2967","2543","3391","0.3821047842502594","0.3692474663257599","0.3949621021747589","2274","1949","2599","0.5461381822824478","0.48907551169395447","0.6032008528709412","3033.5","2600","3467","0.43381041288375854","0.36740827560424805","0.500212550163269"
"2","131","119","143","0.24854379333555698","0.0596766360104084","0.43741095066070557","422.5","384","461","0.3174690753221512","0.31170693039894104","0.32323122024536133","4107.5","3734","4481","0.4826342612504959","0.4585060775279999","0.5067624449729919","3953.5","3594","4313","0.3972535729408264","0.3925654888153076","0.4019416570663452","4663","4239","5087","0.4574277251958847","0.44300028681755066","0.47185516357421875","3574","3249","3899","0.5042580515146255","0.48111405968666077","0.5274020433425903","4767.5","4334","5201","0.5742927193641663","0.5266004800796509","0.6219849586486816"
"3","179","167","191","0.35770517587661743","0.33474642038345337","0.3806639313697815","576.5","538","615","0.31889447569847107","0.2878701686859131","0.34991878271102905","5601.5","5228","5975","0.526665210723877","0.4966527819633484","0.5566776394844055","5391.5","5032","5751","0.4980069249868393","0.4771304428577423","0.5188834071159363","6359","5935","6783","0.48206476867198944","0.44445928931236267","0.5196702480316162","4874","4549","5199","0.5936445891857147","0.5528121590614319","0.6344770193099976","6501.5","6068","6935","0.6614619791507721","0.6517612338066101","0.6711627244949341"
"4","227","215","239","0.3626701533794403","0.34359797835350037","0.38174232840538025","730.5","692","769","0.2711024135351181","0.2690616846084595","0.27314314246177673","7095.5","6722","7469","0.5168669521808624","0.5010687708854675","0.5326651334762573","6829.5","6470","7189","0.5113738924264908","0.47538140416145325","0.5473663806915283","8055","7631","8479","0.48891499638557434","0.4674873948097229","0.5103425979614258","6174","5849","6499","0.6169137954711914","0.6166268587112427","0.6172007322311401","8235.5","7802","8669","0.716564953327179","0.6969442367553711","0.7361856698989868"
"5","275","263","287","0.33020953834056854","0.3277784287929535","0.3326406478881836","884.5","846","923","0.2974618375301361","0.28445473313331604","0.3104689419269562","8589.5","8216","8963","0.5894455015659332","0.5802231431007385","0.5986678600311279","8267.5","7908","8627","0.5033925175666809","0.46308016777038574","0.5437048673629761","9751","9327","10175","0.5494993031024933","0.5126125812530518","0.5863860249519348","7474","7149","7799","0.675823450088501","0.621870219707489","0.7297766804695129","9969.5","9536","10403","0.6895669996738434","0.6673428416252136","0.7117911577224731"
"6","323","311","335","0.3165533095598221","0.30304521322250366","0.3300614058971405","1038.5","1000","1077","0.3052565008401871","0.2801114618778229","0.33040153980255127","10083.5","9710","10457","0.5654001533985138","0.543071448802948","0.5877288579940796","9705.5","9346","10065","0.5186181962490082","0.46111273765563965","0.5761236548423767","11447","11023","11871","0.5135450959205627","0.49136441946029663","0.5357257723808289","8774","8449","9099","0.7128379642963409","0.6893438100814819","0.7363321185112","11703.5","11270","12137","0.6678184866905212","0.6501129269599915","0.685524046421051"
"7","371","359","383","0.2960696369409561","0.2905420660972595","0.3015972077846527","1192.5","1154","1231","0.4047049283981323","0.40263640880584717","0.4067734479904175","11577.5","11204","11951","0.5534355044364929","0.5036998391151428","0.603171169757843","11143.5","10784","11503","0.5300819873809814","0.5085312128067017","0.5516327619552612","13143","12719","13567","0.6125684082508087","0.5783337354660034","0.646803081035614","10074","9749","10399","0.6543759703636169","0.5876299142837524","0.7211220264434814","13437.5","13004","13871","0.7306636571884155","0.6907587051391602","0.7705686092376709"
"8","419","407","431","0.2632627785205841","0.25512009859085083","0.2714054584503174","1346.5","1308","1385","0.3094094693660736","0.28673335909843445","0.33208557963371277","13071.5","12698","13445","0.5671655833721161","0.5529259443283081","0.5814052224159241","12581.5","12222","12941","0.5399664044380188","0.518233060836792","0.5616997480392456","14839","14415","15263","0.6130802929401398","0.5620501637458801","0.6641104221343994","11374","11049","11699","0.743285745382309","0.7323349714279175","0.7542365193367004","15171.5","14738","15605","0.7734645009040833","0.7256166934967041","0.8213123083114624"
"9","467","455","479","0.2698231339454651","0.26596301794052124","0.27368324995040894","1500.5","1462","1539","0.538967490196228","0.5367364883422852","0.5411984920501709","14565.5","14192","14939","0.5306203663349152","0.5298431515693665","0.5313975811004639","14019.5","13660","14379","0.5619340240955353","0.547208309173584","0.5766597390174866","16535","16111","16959","0.5828751027584076","0.5783068537712097","0.5874433517456055","12674","12349","12999","0.7088757157325745","0.6812943816184998","0.7364570498466492","16905.5","16472","17339","0.7470461428165436","0.6998946070671082","0.794197678565979"
